# 579 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      8550   0.855         -0.0036531197   0.10492178    -0.01164151     0.10562883     348.546        27.06501      -2148.0656     -2148.0656    
      8600   0.86          -0.0034815103   0.10600173    -0.011646168    0.1066964      345.05711      26.879418     -2148.2511     -2148.2511    
      8650   0.865         -0.0040042495   0.10681732    -0.012649948    0.10763826     340.46521      26.637633     -2148.4929     -2148.4929    
      8700   0.87          -0.0050081852   0.10715293    -0.013150007    0.10807291     332.72932      26.41282      -2148.7177     -2148.7177    
      8750   0.875         -0.0044931015   0.10804869    -0.012657997    0.10888036     325.91541      26.171335     -2148.9592     -2148.9592    
      8800   0.88          -0.0045208347   0.10868075    -0.012813167    0.1095268      324.10433      25.952411     -2149.1781     -2149.1781    
      8850   0.885         -0.0047128353   0.10987079    -0.012304356    0.11065802     327.33451      25.742606     -2149.388      -2149.388     
      8900   0.89          -0.0047044593   0.11112175    -0.012552704    0.11192741     328.5478       25.50322      -2149.6273     -2149.6273    
      8950   0.895         -0.0041988956   0.11121821    -0.012306293    0.11197574     326.19893      25.308693     -2149.8219     -2149.8219    
      9000   0.9           -0.0050164286   0.11132257    -0.012898759    0.11217958     318.9817       25.062533     -2150.068      -2150.068     
      9050   0.905         -0.0046239546   0.11177031    -0.012691657    0.11258357     312.52543      24.804829     -2150.3257     -2150.3257    
      9100   0.91          -0.0047338111   0.11194607    -0.012741528    0.11276825     305.25406      24.568839     -2150.5617     -2150.5617    
      9150   0.915         -0.0043667382   0.11249971    -0.013053859    0.11333868     298.34788      24.348144     -2150.7824     -2150.7824    
      9200   0.92          -0.0034905785   0.11309919    -0.013489248    0.11395425     292.33915      24.109049     -2151.0215     -2151.0215    
      9250   0.925         -0.0044136586   0.11418132    -0.014102726    0.11513358     286.11286      23.884402     -2151.2462     -2151.2462    
      9300   0.93          -0.0049665491   0.11403196    -0.013393334    0.11492318     280.44236      23.67088      -2151.4597     -2151.4597    
      9350   0.935         -0.0051618092   0.11410645    -0.01391014     0.11506702     277.79321      23.441098     -2151.6895     -2151.6895    
      9400   0.94          -0.0052542795   0.11410071    -0.014188752    0.11509953     276.13517      23.279653     -2151.8509     -2151.8509    
      9450   0.945         -0.004413417    0.11390217    -0.014469968    0.11490241     273.67327      23.096373     -2152.0342     -2152.0342    
      9500   0.95          -0.0047436318   0.11388873    -0.015059801    0.11497801     272.46353      22.933265     -2152.1973     -2152.1973    
      9550   0.955         -0.0041877808   0.11477039    -0.015167606    0.11584402     273.0791       22.766862     -2152.3637     -2152.3637    
      9600   0.96          -0.0053379951   0.11444242    -0.01618413     0.11570431     273.49419      22.52169      -2152.6089     -2152.6089    
      9650   0.965         -0.0055054928   0.11455584    -0.016150786    0.11581968     274.0779       22.346183     -2152.7844     -2152.7844    
      9700   0.97          -0.0056096716   0.11524683    -0.016224045    0.11651832     272.759        22.170021     -2152.9605     -2152.9605    
      9750   0.975         -0.0061652141   0.11699012    -0.015630869    0.11819062     268.01356      21.87085      -2153.2597     -2153.2597    
      9800   0.98          -0.0058810993   0.11820924    -0.01567894     0.11938945     265.28231      21.627074     -2153.5035     -2153.5035    
      9850   0.985         -0.0051712459   0.11877731    -0.016132113    0.11997931     263.7459       21.422893     -2153.7077     -2153.7077    
      9900   0.99          -0.0050995474   0.11981982    -0.01554598     0.12093169     263.82323      21.211329     -2153.9192     -2153.9192    
      9950   0.995         -0.0047991426   0.12144947    -0.0157615      0.12256195     262.55591      21.051451     -2154.0791     -2154.0791    
     10000   1             -0.0047128306   0.12138338    -0.015744869    0.12249096     258.23664      20.836339     -2154.2942     -2154.2942    
     10050   1.005         -0.0039259599   0.12205167    -0.015472645    0.12309113     254.25254      20.580308     -2154.5503     -2154.5503    
     10100   1.01          -0.003880977    0.12360203    -0.015159352    0.12458865     252.942        20.339521     -2154.791      -2154.791     
     10150   1.015         -0.0027204892   0.12349379    -0.01582128     0.12453285     251.7312       20.100758     -2155.0298     -2155.0298    
     10200   1.02          -0.0031403041   0.12430616    -0.015912135    0.1253598      248.68887      19.903597     -2155.227      -2155.227     
     10250   1.025         -0.0040019791   0.12442158    -0.016311832    0.12555008     243.0516       19.681959     -2155.4486     -2155.4486    
     10300   1.03          -0.0032837727   0.12499123    -0.015857398    0.1260359      238.77719      19.466139     -2155.6644     -2155.6644    
